,polish
1893,waszym
1894,waszą
1895,ważny
1896,wcale
1897,wcześniej
1898,według
1899,wejściu
1900,wejść
1901,weryfikować
1902,wewnętrzny
1903,wewnętrznych
1904,wi-fi
1905,wiadomo
1906,wiadomości
1907,wiadomość
1908,widoczny
1909,widzicie
1910,widzieć
1911,widzimy
1912,widzom
1913,widzowie
1914,widzów
1915,widzę
1916,wiecie
1917,wiedziałam
1918,wiedzieć
1919,wiedzy
1920,wiedzę
1921,wiele
1922,wielka
1923,wielkiej
1924,wielkiemu
1925,wieloma
1926,wielu
1927,wiem
1928,wiemy
1929,wierzcie
1930,wierzyć
1931,wiesz
1932,wieś
1933,więc
1934,więcej
1935,większość
1936,wlepić
1937,wniosek
1938,wniosku
1939,województwa
1940,województwie
1941,województwo
1942,wolnej
1943,wolny
1944,wolnych
1945,wolnym
1946,wpadliście
1947,wpaść
1948,wpisuję
1949,wpisywać
1950,wrażenie
1951,wrzucić
1952,wrzućcie
1953,wrócić
1954,wrócił
1955,wschodu
1956,wschód
1957,wsiadając
1958,wsiadać
1959,wsie
1960,wsiąść
1961,wskazać
1962,wskazówka
1963,wskazówki
1964,wskaż
1965,wspaniale
1966,wspaniała
1967,wspaniały
1968,wspierają
1969,wspierać
1970,wspólny
1971,wspólną
1972,współlokator
1973,współlokatorów
1974,wstawać
1975,wszyscy
1976,wszystkich
1977,wszystkie
1978,wszystkiego
1979,wszystkim
1980,wszystko
1981,wtedy
1982,wy
1983,wybieracie
1984,wybieramy
1985,wybierać
1986,wybierzcie
1987,wybierzecie
1988,wybrać
1989,wybrać się
1990,wychodzi
1991,wychodzić
1992,wydaje
1993,wydarzeniami
1994,wydarzenie
1995,wydawać
1996,wydać
1997,wydrukować
1998,wygląda
1999,wyglądają
2000,wyglądający
2001,wyglądających
2002,wyglądać
2003,wyglądał
2004,wyglądało
2005,wygodne
2006,wygodniejsze
2007,wygodniejszy
2008,wygodny
2009,wyjątek
2010,wyjątki
2011,wykonamy
2012,wykonawca
2013,wykonawcę
2014,wykonać
2015,wykonywać
2016,wykorzystać
2017,wykorzystuje
2018,wymiana
2019,wymianę
2020,wymienić
2021,wymowa
2022,wymowę
2023,wymyślić
2024,wymyśliłam
2025,wynagrodzić
2026,wynagrodzą
2027,wynajmowanie
2028,wypiszać
2029,wypiszecie
2030,wypiszesz
2031,wyprzedzenie
2032,wyprzedzeniem
2033,wyraz
2034,wyrazy
2035,wyrazów
2036,wysiłek
2037,wystarczy
2038,wystarczyć
2039,wystarczyło
2040,wystąpili
2041,wystąpić
2042,wysłać
2043,wyznaczać
2044,wyznaczony
2045,wyznaczyliście
2046,wyznaczyć
2047,wyzwania
2048,wyzwanie
2049,wyzwaniu
2050,wyślecie
2051,wzbudzi
2052,wzbudzić
2053,wzgląd
2054,względu
2055,wziąć
2056,wziąć udział
2057,wzięli
2058,wznosząca
2059,wózek
2060,wózka
2061,wąski
2062,wąskim
2063,właściwie
2064,właśnie
2065,włączyć
2066,yhym
2067,za
2068,zabawy
2069,zachodni
2070,zachodniej
2071,zachęcamy
2072,zachęcać
2073,zacisze
2074,zaciszu
2075,zaczynają
2076,zaczynamy
2077,zaczynać
2078,zacząć
2079,zadanie
2080,zadaniem
2081,zadawanie
2082,zadawać
2083,zadać
2084,zadbacie
2085,zadbać
2086,zagadnienie
2087,zaimek
2088,zaimka
2089,zaimponować
2090,zajmie
2091,zajrzeć
2092,zajrzyjcie
2093,zająć
2094,zajęć
2095,zajęło
2096,zależności
2097,zależność
2098,zależy
2099,zamawiać
2100,zamiar
2101,zamiary
2102,zamiast
2103,zamierzonego
2104,zamierzony
2105,zamówić
2106,zamęczać
2107,zanim
2108,zaopatrzone
2109,zaopatrzony
2110,zapewne
2111,zapewny
2112,zapisać
2113,zapisałam
2114,zaplanowane
2115,zaplanowany
2116,zaplanować
2117,zaplanujecie
2118,zapomniać
2119,zapomniałam
2120,zapowiedzi
2121,zapowiedziom
2122,zapowiedzić
2123,zapoznać
2124,zaproszenie
2125,zapytania
2126,zapytać
2127,zapłacić
2128,zareagowali
2129,zareagować
2130,zasad
2131,zasada
2132,zasadach
2133,zastanawiacie
2134,zastanawiać
2135,zastanawiać się
2136,zastosować
2137,zawieszony
2138,zawieszonym
2139,zawsze
2140,zaznaczyć
2141,zazwyczaj
2142,załatwicie
2143,załatwić
2144,założone
2145,założony
2146,założyliście
2147,założyć
2148,zbyt
2149,zdania
2150,zdanie
2151,zdaniem
2152,zdaniu
2153,zdarzyć
2154,zdarzyć się
2155,zdań
2156,zdecydowana
2157,zdecydowany
2158,zdecydować
2159,zdecydujecie
2160,zdobyć
2161,zdradzić
2162,zdradziła
2163,zdziwienie
2164,zdziwieniu
2165,zdziwione
2166,zdziwiony
2167,ze
2168,zestaw
2169,zestawić
2170,zgromadzić
2171,zgromadziłam
2172,zielony
2173,zimowe
2174,zimowy
2175,zjednoczony
2176,zjednoczonych
2177,zjeść
2178,zmienimy
2179,zmienić
2180,zmierzyć
2181,zmieścić
2182,znacie
2183,znaczy
2184,znajdować
2185,znajduje
2186,znajdują
2187,znajdziecie
2188,znajomy
2189,znajomych
2190,znajomym
2191,znak
2192,znaleźć
2193,znam
2194,znamy
2195,znana
2196,znany
2197,znasz
2198,znać
2199,zniechęcić
2200,zniknie
2201,zniżek
2202,zniżka
2203,zniżki
2204,zniżkę
2205,znowu
2206,zobaczenia
2207,zobaczyć
2208,zobowiązania
2209,zobowiązanie
2210,zobowiązuje
2211,zobowiązywać
2212,zobowiążemy
2213,zobowiążę
2214,zostawimy
2215,zostawić
2216,zrealizowania
2217,zrealizowanie
2218,zrealizować
2219,zrobisz
2220,zrobić
2221,zweryfikować
2222,związany
2223,związek
2224,związku
2225,zwracamy
2226,zwracać
2227,zwrot
2228,zwrotów
2229,zwrócić
2230,zwróćcie
2231,zwykle
2232,zwłaszcza
2233,złożyć
2234,zły
2235,złą
2236,ćwiczenia
2237,ćwiczenie
2238,ćwiczeń
2239,łaciński
2240,łacińskiego
2241,łaskawości
2242,łaskawość
2243,łatwe
2244,łatwiej
2245,łatwo
2246,łatwością
2247,łatwość
2248,łatwy
2249,śląska
2250,śląskie
2251,śmiać
2252,śmiała
2253,świat
2254,świecie
2255,świetna
2256,świetny
2257,świetną
2258,żaden
2259,żadnego
2260,żart
2261,żartowałam
2262,żartów
2263,że
2264,żeby
2265,żebyście
2266,żebyśmy
2267,życie
2268,życiu
2269,życzenia
2270,życzenie
2271,życzeń
2272,
