65,raźniej,żywszy,livelier/more fun,że w grupie raźniej i jak się wszyscy zobowiążemy,"<h4 style='color:rgb(0, 180, 250)'>raźniej</h4>    <p><i><h6>że w grupie <span style='color:rgb(0, 180, 250)'>raźniej</span> i jak się wszyscy zobowiążemy </h6></i></p>",<h3>livelier/more fun</h3>,"<p><i><h6>że w grupie <span style='color:rgb(0, 180, 250)'>raźniej</span> i jak się wszyscy zobowiążemy </h6></i></p>"
66,realistyczny,realistyczny,realistic," o tym, jak wyznaczać sobie realistyczne,","<h4 style='color:rgb(0, 180, 250)'>realistyczny</h4>    <p><i><h6> o tym, jak wyznaczać sobie <span style='color:rgb(0, 180, 250)'>realistyczne,</span> </h6></i></p>",<h3>realistic</h3>,"<p><i><h6> o tym, jak wyznaczać sobie <span style='color:rgb(0, 180, 250)'>realistyczne,</span> </h6></i></p>"
68,realnie,naprawdę,realistically,"Przemyślałam sprawę i myślę, że tak realnie","<h4 style='color:rgb(0, 180, 250)'>realnie</h4>    <p><i><h6>Przemyślałam sprawę i myślę, że tak <span style='color:rgb(0, 180, 250)'>realnie</span> </h6></i></p>",<h3>realistically</h3>,"<p><i><h6>Przemyślałam sprawę i myślę, że tak <span style='color:rgb(0, 180, 250)'>realnie</span> </h6></i></p>"
69,rozpisany,wypisane,written out,No więc mamy nasze cele rozpisane w czasie,"<h4 style='color:rgb(0, 180, 250)'>rozpisany</h4>    <p><i><h6>No więc mamy nasze cele <span style='color:rgb(0, 180, 250)'>rozpisane</span> w czasie </h6></i></p>",<h3>written out</h3>,"<p><i><h6>No więc mamy nasze cele <span style='color:rgb(0, 180, 250)'>rozpisane</span> w czasie </h6></i></p>"
70,rozwinąć,zwiększać,to expand,z którego każdą literę możemy rozwinąć,"<h4 style='color:rgb(0, 180, 250)'>rozwinąć</h4>    <p><i><h6>z którego każdą literę możemy <span style='color:rgb(0, 180, 250)'>rozwinąć</span> </h6></i></p>",<h3>to expand</h3>,"<p><i><h6>z którego każdą literę możemy <span style='color:rgb(0, 180, 250)'>rozwinąć</span> </h6></i></p>"
71,rzeczywiście,właściwie,indeed,"Tak, myślę, że rzeczywiście najtrudniej jest wtedy,","<h4 style='color:rgb(0, 180, 250)'>rzeczywiście</h4>    <p><i><h6>Tak, myślę, że <span style='color:rgb(0, 180, 250)'>rzeczywiście</span> najtrudniej jest wtedy, </h6></i></p>",<h3>indeed</h3>,"<p><i><h6>Tak, myślę, że <span style='color:rgb(0, 180, 250)'>rzeczywiście</span> najtrudniej jest wtedy, </h6></i></p>"
72,skoro,od,since,"No dobra, Aga, to skoro ma być o celach,","<h4 style='color:rgb(0, 180, 250)'>skoro</h4>    <p><i><h6>No dobra, Aga, to <span style='color:rgb(0, 180, 250)'>skoro</span> ma być o celach, </h6></i></p>",<h3>since</h3>,"<p><i><h6>No dobra, Aga, to <span style='color:rgb(0, 180, 250)'>skoro</span> ma być o celach, </h6></i></p>"
73,skrzynka,skrzynka,box,"Aga, na naszej skrzynce jest dużo nieotwartych maili","<h4 style='color:rgb(0, 180, 250)'>skrzynka</h4>    <p><i><h6>Aga, na naszej <span style='color:rgb(0, 180, 250)'>skrzynce</span> jest dużo nieotwartych maili </h6></i></p>",<h3>box</h3>,"<p><i><h6>Aga, na naszej <span style='color:rgb(0, 180, 250)'>skrzynce</span> jest dużo nieotwartych maili </h6></i></p>"
74,skrót,skrót,abbreviation,"Ta metoda nazywa się SMART i jest to skrót,","<h4 style='color:rgb(0, 180, 250)'>skrót</h4>    <p><i><h6>Ta metoda nazywa się SMART i jest to <span style='color:rgb(0, 180, 250)'>skrót,</span> </h6></i></p>",<h3>abbreviation</h3>,"<p><i><h6>Ta metoda nazywa się SMART i jest to <span style='color:rgb(0, 180, 250)'>skrót,</span> </h6></i></p>"
75,składania życzeń,przedłożona praca,of greetings,Natomiast umiejętność składania życzeń bożonarodzeniowych,"<h4 style='color:rgb(0, 180, 250)'>składania życzeń</h4>    <p><i><h6>Natomiast umiejętność <span style='color:rgb(0, 180, 250)'>składania</span> życzeń bożonarodzeniowych </h6></i></p>",<h3>of greetings</h3>,"<p><i><h6>Natomiast umiejętność <span style='color:rgb(0, 180, 250)'>składania</span> życzeń bożonarodzeniowych </h6></i></p>"
76,składać obietnicę,zginać,to make a promise,czy tak jak ja składam obietnicę na oczach naszych widzów,"<h4 style='color:rgb(0, 180, 250)'>składać obietnicę</h4>    <p><i><h6>czy tak jak ja <span style='color:rgb(0, 180, 250)'>składam</span> obietnicę na oczach naszych widzów </h6></i></p>",<h3>to make a promise</h3>,"<p><i><h6>czy tak jak ja <span style='color:rgb(0, 180, 250)'>składam</span> obietnicę na oczach naszych widzów </h6></i></p>"
77,stąd,stąd,from here,"Wydaje się, że stąd już bardzo prosta droga do sukcesu","<h4 style='color:rgb(0, 180, 250)'>stąd</h4>    <p><i><h6>Wydaje się, że <span style='color:rgb(0, 180, 250)'>stąd</span> już bardzo prosta droga do sukcesu </h6></i></p>",<h3>from here</h3>,"<p><i><h6>Wydaje się, że <span style='color:rgb(0, 180, 250)'>stąd</span> już bardzo prosta droga do sukcesu </h6></i></p>"
78,sumiennie,starannie,conscientiously/diligently,"Jeżeli założyliście, że sumiennie co czwartek","<h4 style='color:rgb(0, 180, 250)'>sumiennie</h4>    <p><i><h6>Jeżeli założyliście, że <span style='color:rgb(0, 180, 250)'>sumiennie</span> co czwartek </h6></i></p>",<h3>conscientiously/diligently</h3>,"<p><i><h6>Jeżeli założyliście, że <span style='color:rgb(0, 180, 250)'>sumiennie</span> co czwartek </h6></i></p>"
79,słownictwo,słownictwo,vocabulary,"Na pewno nauczycie się z niego dużo przydatnego słownictwa,","<h4 style='color:rgb(0, 180, 250)'>słownictwo</h4>    <p><i><h6>Na pewno nauczycie się z niego dużo przydatnego <span style='color:rgb(0, 180, 250)'>słownictwa,</span> </h6></i></p>",<h3>vocabulary</h3>,"<p><i><h6>Na pewno nauczycie się z niego dużo przydatnego <span style='color:rgb(0, 180, 250)'>słownictwa,</span> </h6></i></p>"
80,teoretycznie,teoretycznie,theoretically,Bo teoretycznie powinniście już wtedy znać,"<h4 style='color:rgb(0, 180, 250)'>teoretycznie</h4>    <p><i><h6>Bo <span style='color:rgb(0, 180, 250)'>teoretycznie</span> powinniście już wtedy znać </h6></i></p>",<h3>theoretically</h3>,"<p><i><h6>Bo <span style='color:rgb(0, 180, 250)'>teoretycznie</span> powinniście już wtedy znać </h6></i></p>"
81,termin,termin ostateczny,deadline,"Taki wyznaczony przez nas termin zobowiązuje nas do tego,","<h4 style='color:rgb(0, 180, 250)'>termin</h4>    <p><i><h6>Taki wyznaczony przez nas <span style='color:rgb(0, 180, 250)'>termin</span> zobowiązuje nas do tego, </h6></i></p>",<h3>deadline</h3>,"<p><i><h6>Taki wyznaczony przez nas <span style='color:rgb(0, 180, 250)'>termin</span> zobowiązuje nas do tego, </h6></i></p>"
82,to się nigdy nie udaje,iść,it never succeeds," Wiesz, że to się nigdy nie udaje,","<h4 style='color:rgb(0, 180, 250)'>to się nigdy nie udaje</h4>    <p><i><h6> Wiesz, że to się nigdy nie <span style='color:rgb(0, 180, 250)'>udaje,</span> </h6></i></p>",<h3>it never succeeds</h3>,"<p><i><h6> Wiesz, że to się nigdy nie <span style='color:rgb(0, 180, 250)'>udaje,</span> </h6></i></p>"
83,turysta,turysta,tourist,bo planujecie przyjechać tutaj jako turysta,"<h4 style='color:rgb(0, 180, 250)'>turysta</h4>    <p><i><h6>bo planujecie przyjechać tutaj jako <span style='color:rgb(0, 180, 250)'>turysta</span> </h6></i></p>",<h3>tourist</h3>,"<p><i><h6>bo planujecie przyjechać tutaj jako <span style='color:rgb(0, 180, 250)'>turysta</span> </h6></i></p>"
84,tyle ile się da maksymalnie,maksymalny,as much as possible,"i tyle ile się da maksymalnie, nie","<h4 style='color:rgb(0, 180, 250)'>tyle ile się da maksymalnie</h4>    <p><i><h6>i tyle ile się da <span style='color:rgb(0, 180, 250)'>maksymalnie,</span> nie </h6></i></p>",<h3>as much as possible</h3>,"<p><i><h6>i tyle ile się da <span style='color:rgb(0, 180, 250)'>maksymalnie,</span> nie </h6></i></p>"
85,udawać,udawać,to pretend," To, że będziesz udawać,","<h4 style='color:rgb(0, 180, 250)'>udawać</h4>    <p><i><h6> To, że będziesz <span style='color:rgb(0, 180, 250)'>udawać,</span> </h6></i></p>",<h3>to pretend</h3>,"<p><i><h6> To, że będziesz <span style='color:rgb(0, 180, 250)'>udawać,</span> </h6></i></p>"
86,ukontentowany,zadowolony,pleased,była ukontentowana naszymi umiejętnościami,"<h4 style='color:rgb(0, 180, 250)'>ukontentowany</h4>    <p><i><h6>była <span style='color:rgb(0, 180, 250)'>ukontentowana</span> naszymi umiejętnościami </h6></i></p>",<h3>pleased</h3>,"<p><i><h6>była <span style='color:rgb(0, 180, 250)'>ukontentowana</span> naszymi umiejętnościami </h6></i></p>"
87,upierać się,nalegać,to insist/persist,"Dlaczego Justyna tak bardzo upiera się,","<h4 style='color:rgb(0, 180, 250)'>upierać się</h4>    <p><i><h6>Dlaczego Justyna tak bardzo <span style='color:rgb(0, 180, 250)'>upiera</span> się, </h6></i></p>",<h3>to insist/persist</h3>,"<p><i><h6>Dlaczego Justyna tak bardzo <span style='color:rgb(0, 180, 250)'>upiera</span> się, </h6></i></p>"
88,uporządkowany,uporządkowany,orderly/structured," Tu mam bardzo dobrze uporządkowaną gramatykę,","<h4 style='color:rgb(0, 180, 250)'>uporządkowany</h4>    <p><i><h6> Tu mam bardzo dobrze <span style='color:rgb(0, 180, 250)'>uporządkowaną</span> gramatykę, </h6></i></p>",<h3>orderly/structured</h3>,"<p><i><h6> Tu mam bardzo dobrze <span style='color:rgb(0, 180, 250)'>uporządkowaną</span> gramatykę, </h6></i></p>"
89,ustalać,ustawić,to set/determine," Gdzie jest ten komputer, ustalamy grafik","<h4 style='color:rgb(0, 180, 250)'>ustalać</h4>    <p><i><h6> Gdzie jest ten komputer, <span style='color:rgb(0, 180, 250)'>ustalamy</span> grafik </h6></i></p>",<h3>to set/determine</h3>,"<p><i><h6> Gdzie jest ten komputer, <span style='color:rgb(0, 180, 250)'>ustalamy</span> grafik </h6></i></p>"
90,uwielbiać,adorować,to adore,Przecież uwielbiam czytać kilka książek w tym samym czasie,"<h4 style='color:rgb(0, 180, 250)'>uwielbiać</h4>    <p><i><h6>Przecież <span style='color:rgb(0, 180, 250)'>uwielbiam</span> czytać kilka książek w tym samym czasie </h6></i></p>",<h3>to adore</h3>,"<p><i><h6>Przecież <span style='color:rgb(0, 180, 250)'>uwielbiam</span> czytać kilka książek w tym samym czasie </h6></i></p>"
91,zweryfikować,zweryfikować,to verify, Warto więc na bieżąco je weryfikować,"<h4 style='color:rgb(0, 180, 250)'>weryfikować</h4>    <p><i><h6> Warto więc na bieżąco je <span style='color:rgb(0, 180, 250)'>weryfikować</span> </h6></i></p>",<h3>to verify</h3>,"<p><i><h6> Warto więc na bieżąco je <span style='color:rgb(0, 180, 250)'>weryfikować</span> </h6></i></p>"
92,wiedzy,wiedza,knowledge,"trochę wiedzy kulturoznawczej,","<h4 style='color:rgb(0, 180, 250)'>wiedzy</h4>    <p><i><h6>trochę <span style='color:rgb(0, 180, 250)'>wiedzy</span> kulturoznawczej, </h6></i></p>",<h3>knowledge</h3>,"<p><i><h6>trochę <span style='color:rgb(0, 180, 250)'>wiedzy</span> kulturoznawczej, </h6></i></p>"
93,wpisywać,typ,to type,"Dobra, wpisuję","<h4 style='color:rgb(0, 180, 250)'>wpisywać</h4>    <p><i><h6>Dobra, <span style='color:rgb(0, 180, 250)'>wpisuję</span> </h6></i></p>",<h3>to type</h3>,"<p><i><h6>Dobra, <span style='color:rgb(0, 180, 250)'>wpisuję</span> </h6></i></p>"
94,wrzucić,wrzucić,throw/put/upload,a potem wrzućcie ten film na jakiś dysk,"<h4 style='color:rgb(0, 180, 250)'>wrzucić</h4>    <p><i><h6>a potem <span style='color:rgb(0, 180, 250)'>wrzućcie</span> ten film na jakiś dysk </h6></i></p>",<h3>throw/put/upload</h3>,"<p><i><h6>a potem <span style='color:rgb(0, 180, 250)'>wrzućcie</span> ten film na jakiś dysk </h6></i></p>"
95,wskazać,wskazać,to indicate/show/point,"Wskaż mi dokładne momenty w tygodniu,","<h4 style='color:rgb(0, 180, 250)'>wskazać</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>Wskaż</span> mi dokładne momenty w tygodniu, </h6></i></p>",<h3>to indicate/show/point</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>Wskaż</span> mi dokładne momenty w tygodniu, </h6></i></p>"
96,wybierać,wybierać,to choose,"że na przykład, gdy wybieracie się do Polski na wakacje,","<h4 style='color:rgb(0, 180, 250)'>wybierać</h4>    <p><i><h6>że na przykład, gdy <span style='color:rgb(0, 180, 250)'>wybieracie</span> się do Polski na wakacje, </h6></i></p>",<h3>to choose</h3>,"<p><i><h6>że na przykład, gdy <span style='color:rgb(0, 180, 250)'>wybieracie</span> się do Polski na wakacje, </h6></i></p>"
97,wyjątek,wyjątek,exception,"dwie różne końcówki w liczbie mnogiej, a do tego jeszcze wyjątki,","<h4 style='color:rgb(0, 180, 250)'>wyjątek</h4>    <p><i><h6>dwie różne końcówki w liczbie mnogiej, a do tego jeszcze <span style='color:rgb(0, 180, 250)'>wyjątki,</span> </h6></i></p>",<h3>exception</h3>,"<p><i><h6>dwie różne końcówki w liczbie mnogiej, a do tego jeszcze <span style='color:rgb(0, 180, 250)'>wyjątki,</span> </h6></i></p>"
98,wykonywać/wykonać,dokonywać,to perform,"które określają, ile jakieś czynności wykonamy","<h4 style='color:rgb(0, 180, 250)'>wykonywać/wykonać</h4>    <p><i><h6>które określają, ile jakieś czynności <span style='color:rgb(0, 180, 250)'>wykonamy</span> </h6></i></p>",<h3>to perform</h3>,"<p><i><h6>które określają, ile jakieś czynności <span style='color:rgb(0, 180, 250)'>wykonamy</span> </h6></i></p>"
99,wymyślić,wynaleźć,to come up with/invent,"Ja wymyśliłam ten challenge z taką nadzieją,","<h4 style='color:rgb(0, 180, 250)'>wymyślić</h4>    <p><i><h6>Ja <span style='color:rgb(0, 180, 250)'>wymyśliłam</span> ten challenge z taką nadzieją, </h6></i></p>",<h3>to come up with/invent</h3>,"<p><i><h6>Ja <span style='color:rgb(0, 180, 250)'>wymyśliłam</span> ten challenge z taką nadzieją, </h6></i></p>"
100,wypisać,wypisać,to write out,"potem wypiszecie sobie z niego dziesięć nowych słówek,","<h4 style='color:rgb(0, 180, 250)'>wypisać</h4>    <p><i><h6>potem <span style='color:rgb(0, 180, 250)'>wypiszecie</span> sobie z niego dziesięć nowych słówek, </h6></i></p>",<h3>to write out</h3>,"<p><i><h6>potem <span style='color:rgb(0, 180, 250)'>wypiszecie</span> sobie z niego dziesięć nowych słówek, </h6></i></p>"
101,wysiłek,wysiłek,effort,"żebyśmy codziennie podejmowali wysiłek uczenia się,","<h4 style='color:rgb(0, 180, 250)'>wysiłek</h4>    <p><i><h6>żebyśmy codziennie podejmowali <span style='color:rgb(0, 180, 250)'>wysiłek</span> uczenia się, </h6></i></p>",<h3>effort</h3>,"<p><i><h6>żebyśmy codziennie podejmowali <span style='color:rgb(0, 180, 250)'>wysiłek</span> uczenia się, </h6></i></p>"
102,wystarczyć,wystarczająco,to be enough,żeby wystarczyło Ci tej godziny w poniedziałek,"<h4 style='color:rgb(0, 180, 250)'>wystarczyć</h4>    <p><i><h6>żeby <span style='color:rgb(0, 180, 250)'>wystarczyło</span> Ci tej godziny w poniedziałek </h6></i></p>",<h3>to be enough</h3>,"<p><i><h6>żeby <span style='color:rgb(0, 180, 250)'>wystarczyło</span> Ci tej godziny w poniedziałek </h6></i></p>"
103,wystąpić,zdarzać się,to occur,"Co Wy na to, żebyście to Wy wystąpili","<h4 style='color:rgb(0, 180, 250)'>wystąpić</h4>    <p><i><h6>Co Wy na to, żebyście to Wy <span style='color:rgb(0, 180, 250)'>wystąpili</span> </h6></i></p>",<h3>to occur</h3>,"<p><i><h6>Co Wy na to, żebyście to Wy <span style='color:rgb(0, 180, 250)'>wystąpili</span> </h6></i></p>"
104,wysłać,wysłać,to send,org wyślecie nam link do tego filmu,"<h4 style='color:rgb(0, 180, 250)'>wysłać</h4>    <p><i><h6>org <span style='color:rgb(0, 180, 250)'>wyślecie</span> nam link do tego filmu </h6></i></p>",<h3>to send</h3>,"<p><i><h6>org <span style='color:rgb(0, 180, 250)'>wyślecie</span> nam link do tego filmu </h6></i></p>"
105,wyznaczać/wyznaczyć,wyznaczyć,to set/designate," o tym, jak wyznaczać sobie realistyczne,","<h4 style='color:rgb(0, 180, 250)'>wyznaczać/wyznaczyć</h4>    <p><i><h6> o tym, jak <span style='color:rgb(0, 180, 250)'>wyznaczać</span> sobie realistyczne, </h6></i></p>",<h3>to set/designate</h3>,"<p><i><h6> o tym, jak <span style='color:rgb(0, 180, 250)'>wyznaczać</span> sobie realistyczne, </h6></i></p>"
106,wyznaczony,wyznaczony,appointed,"Taki wyznaczony przez nas termin zobowiązuje nas do tego,","<h4 style='color:rgb(0, 180, 250)'>wyznaczony</h4>    <p><i><h6>Taki <span style='color:rgb(0, 180, 250)'>wyznaczony</span> przez nas termin zobowiązuje nas do tego, </h6></i></p>",<h3>appointed</h3>,"<p><i><h6>Taki <span style='color:rgb(0, 180, 250)'>wyznaczony</span> przez nas termin zobowiązuje nas do tego, </h6></i></p>"
107,wziąć udział,zaangażować się,to take part in,"w którym mogą wziąć udział, dobra","<h4 style='color:rgb(0, 180, 250)'>wziąć udział</h4>    <p><i><h6>w którym mogą wziąć <span style='color:rgb(0, 180, 250)'>udział,</span> dobra </h6></i></p>",<h3>to take part in</h3>,"<p><i><h6>w którym mogą wziąć <span style='color:rgb(0, 180, 250)'>udział,</span> dobra </h6></i></p>"
108,właściwie,właściwie,actually,"A potem, właściwie","<h4 style='color:rgb(0, 180, 250)'>właściwie</h4>    <p><i><h6>A potem, <span style='color:rgb(0, 180, 250)'>właściwie</span> </h6></i></p>",<h3>actually</h3>,"<p><i><h6>A potem, <span style='color:rgb(0, 180, 250)'>właściwie</span> </h6></i></p>"
109,włączyć,włączyć,to turn on/include,A czy możemy do tej naszej zabawy włączyć jeszcze naszych widzów,"<h4 style='color:rgb(0, 180, 250)'>włączyć</h4>    <p><i><h6>A czy możemy do tej naszej zabawy <span style='color:rgb(0, 180, 250)'>włączyć</span> jeszcze naszych widzów </h6></i></p>",<h3>to turn on/include</h3>,"<p><i><h6>A czy możemy do tej naszej zabawy <span style='color:rgb(0, 180, 250)'>włączyć</span> jeszcze naszych widzów </h6></i></p>"
110,zabawa,zabawa,fun,A czy możemy do tej naszej zabawy włączyć jeszcze naszych widzów,"<h4 style='color:rgb(0, 180, 250)'>zabawa</h4>    <p><i><h6>A czy możemy do tej naszej <span style='color:rgb(0, 180, 250)'>zabawy</span> włączyć jeszcze naszych widzów </h6></i></p>",<h3>fun</h3>,"<p><i><h6>A czy możemy do tej naszej <span style='color:rgb(0, 180, 250)'>zabawy</span> włączyć jeszcze naszych widzów </h6></i></p>"
111,zachęcać,przekonywać,to encourage,"Więc serdecznie Was zachęcamy do tego,","<h4 style='color:rgb(0, 180, 250)'>zachęcać</h4>    <p><i><h6>Więc serdecznie Was <span style='color:rgb(0, 180, 250)'>zachęcamy</span> do tego, </h6></i></p>",<h3>to encourage</h3>,"<p><i><h6>Więc serdecznie Was <span style='color:rgb(0, 180, 250)'>zachęcamy</span> do tego, </h6></i></p>"
112,zadanie domowe,zadanie,homework,"bo albo Antek potrzebuje pomocy z zadaniem domowym,","<h4 style='color:rgb(0, 180, 250)'>zadanie domowe</h4>    <p><i><h6>bo albo Antek potrzebuje pomocy z <span style='color:rgb(0, 180, 250)'>zadaniem</span> domowym, </h6></i></p>",<h3>homework</h3>,"<p><i><h6>bo albo Antek potrzebuje pomocy z <span style='color:rgb(0, 180, 250)'>zadaniem</span> domowym, </h6></i></p>"
113,zadbać,dbać o siebie,to take care/make sure,"koniecznie w poziomie i zadbacie o to, żeby była dobra jakość dźwięku;","<h4 style='color:rgb(0, 180, 250)'>zadbać</h4>    <p><i><h6>koniecznie w poziomie i <span style='color:rgb(0, 180, 250)'>zadbacie</span> o to, żeby była dobra jakość dźwięku; </h6></i></p>",<h3>to take care/make sure</h3>,"<p><i><h6>koniecznie w poziomie i <span style='color:rgb(0, 180, 250)'>zadbacie</span> o to, żeby była dobra jakość dźwięku; </h6></i></p>"
114,zagadnienie,wydanie,issue/problem,poznasz każdego tygodnia jedno nowe zagadnienie gramatyczne,"<h4 style='color:rgb(0, 180, 250)'>zagadnienie</h4>    <p><i><h6>poznasz każdego tygodnia jedno nowe <span style='color:rgb(0, 180, 250)'>zagadnienie</span> gramatyczne </h6></i></p>",<h3>issue/problem</h3>,"<p><i><h6>poznasz każdego tygodnia jedno nowe <span style='color:rgb(0, 180, 250)'>zagadnienie</span> gramatyczne </h6></i></p>"
115,zamawiać/zamówić,zamówienie,to order,jak zamawiać kawę czy jak kupić bilet na pociąg,"<h4 style='color:rgb(0, 180, 250)'>zamawiać/zamówić</h4>    <p><i><h6>jak <span style='color:rgb(0, 180, 250)'>zamawiać</span> kawę czy jak kupić bilet na pociąg </h6></i></p>",<h3>to order</h3>,"<p><i><h6>jak <span style='color:rgb(0, 180, 250)'>zamawiać</span> kawę czy jak kupić bilet na pociąg </h6></i></p>"
116,zamiar,zamiar,intention,"stare polskie przysłowie: ""trzeba mierzyć siły na zamiary""","<h4 style='color:rgb(0, 180, 250)'>zamiar</h4>    <p><i><h6>stare polskie przysłowie: ""trzeba mierzyć siły na <span style='color:rgb(0, 180, 250)'>zamiary""</span> </h6></i></p>",<h3>intention</h3>,"<p><i><h6>stare polskie przysłowie: ""trzeba mierzyć siły na <span style='color:rgb(0, 180, 250)'>zamiary""</span> </h6></i></p>"
117,zamierzony,przeznaczony,intended,A na koniec tego zamierzonego okresu czasu,"<h4 style='color:rgb(0, 180, 250)'>zamierzony</h4>    <p><i><h6>A na koniec tego <span style='color:rgb(0, 180, 250)'>zamierzonego</span> okresu czasu </h6></i></p>",<h3>intended</h3>,"<p><i><h6>A na koniec tego <span style='color:rgb(0, 180, 250)'>zamierzonego</span> okresu czasu </h6></i></p>"
118,zaplanowany,zaplanowany,planned,"w których planujemy wykonywać zaplanowane czynności i liczby,","<h4 style='color:rgb(0, 180, 250)'>zaplanowany</h4>    <p><i><h6>w których planujemy wykonywać <span style='color:rgb(0, 180, 250)'>zaplanowane</span> czynności i liczby, </h6></i></p>",<h3>planned</h3>,"<p><i><h6>w których planujemy wykonywać <span style='color:rgb(0, 180, 250)'>zaplanowane</span> czynności i liczby, </h6></i></p>"
119,zapoznać się,zapoznać się,get acquainted,i zapoznać się z nowojorskim slangiem,"<h4 style='color:rgb(0, 180, 250)'>zapoznać się</h4>    <p><i><h6>i <span style='color:rgb(0, 180, 250)'>zapoznać</span> się z nowojorskim slangiem </h6></i></p>",<h3>get acquainted</h3>,"<p><i><h6>i <span style='color:rgb(0, 180, 250)'>zapoznać</span> się z nowojorskim slangiem </h6></i></p>"
120,założyć,założyć,to establish,"Jeżeli założyliście, że sumiennie co czwartek","<h4 style='color:rgb(0, 180, 250)'>założyć</h4>    <p><i><h6>Jeżeli <span style='color:rgb(0, 180, 250)'>założyliście,</span> że sumiennie co czwartek </h6></i></p>",<h3>to establish</h3>,"<p><i><h6>Jeżeli <span style='color:rgb(0, 180, 250)'>założyliście,</span> że sumiennie co czwartek </h6></i></p>"
121,zgromadzić,gromadzić,to accumulate,"Zgromadziłam mnóstwo książek, przerobiłam wiele kursów i nic","<h4 style='color:rgb(0, 180, 250)'>zgromadzić</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>Zgromadziłam</span> mnóstwo książek, przerobiłam wiele kursów i nic </h6></i></p>",<h3>to accumulate</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>Zgromadziłam</span> mnóstwo książek, przerobiłam wiele kursów i nic </h6></i></p>"
122,zmierzyć,zmierzyć,to measure,"Najlepsze cele to takie, które da się zmierzyć","<h4 style='color:rgb(0, 180, 250)'>zmierzyć</h4>    <p><i><h6>Najlepsze cele to takie, które da się <span style='color:rgb(0, 180, 250)'>zmierzyć</span> </h6></i></p>",<h3>to measure</h3>,"<p><i><h6>Najlepsze cele to takie, które da się <span style='color:rgb(0, 180, 250)'>zmierzyć</span> </h6></i></p>"
123,zniknie,zniknie,will disappear,"że nie ma problemu, to on nie zniknie","<h4 style='color:rgb(0, 180, 250)'>zniknie</h4>    <p><i><h6>że nie ma problemu, to on nie <span style='color:rgb(0, 180, 250)'>zniknie</span> </h6></i></p>",<h3>will disappear</h3>,"<p><i><h6>że nie ma problemu, to on nie <span style='color:rgb(0, 180, 250)'>zniknie</span> </h6></i></p>"
124,zobowiązanie,zobowiązanie,commitment,to potem będę się musiała trzymać tego zobowiązania,"<h4 style='color:rgb(0, 180, 250)'>zobowiązanie</h4>    <p><i><h6>to potem będę się musiała trzymać tego <span style='color:rgb(0, 180, 250)'>zobowiązania</span> </h6></i></p>",<h3>commitment</h3>,"<p><i><h6>to potem będę się musiała trzymać tego <span style='color:rgb(0, 180, 250)'>zobowiązania</span> </h6></i></p>"
125,zobowiązywać,zobowiązać,to commit,"Taki wyznaczony przez nas termin zobowiązuje nas do tego,","<h4 style='color:rgb(0, 180, 250)'>zobowiązywać</h4>    <p><i><h6>Taki wyznaczony przez nas termin <span style='color:rgb(0, 180, 250)'>zobowiązuje</span> nas do tego, </h6></i></p>",<h3>to commit</h3>,"<p><i><h6>Taki wyznaczony przez nas termin <span style='color:rgb(0, 180, 250)'>zobowiązuje</span> nas do tego, </h6></i></p>"
126,zrealizowanie,realizacja,realization,żeby były możliwe do zrealizowania,"<h4 style='color:rgb(0, 180, 250)'>zrealizowanie</h4>    <p><i><h6>żeby były możliwe do <span style='color:rgb(0, 180, 250)'>zrealizowania</span> </h6></i></p>",<h3>realization</h3>,"<p><i><h6>żeby były możliwe do <span style='color:rgb(0, 180, 250)'>zrealizowania</span> </h6></i></p>"
127,zrealizować,realizować,to realize,"To są to małe kroczki, które łatwo zrealizować","<h4 style='color:rgb(0, 180, 250)'>zrealizować</h4>    <p><i><h6>To są to małe kroczki, które łatwo <span style='color:rgb(0, 180, 250)'>zrealizować</span> </h6></i></p>",<h3>to realize</h3>,"<p><i><h6>To są to małe kroczki, które łatwo <span style='color:rgb(0, 180, 250)'>zrealizować</span> </h6></i></p>"
129,związek,relacja,relationship/connection,A jaki to ma związek z dzisiejszym odcinkiem,"<h4 style='color:rgb(0, 180, 250)'>związek</h4>    <p><i><h6>A jaki to ma <span style='color:rgb(0, 180, 250)'>związek</span> z dzisiejszym odcinkiem </h6></i></p>",<h3>relationship/connection</h3>,"<p><i><h6>A jaki to ma <span style='color:rgb(0, 180, 250)'>związek</span> z dzisiejszym odcinkiem </h6></i></p>"
130,złożyć życzenia,zginać,to make a wish,"""Chcę wiedzieć, jak złożyć życzenia po polsku"",","<h4 style='color:rgb(0, 180, 250)'>złożyć życzenia</h4>    <p><i><h6>""Chcę wiedzieć, jak <span style='color:rgb(0, 180, 250)'>złożyć</span> życzenia po polsku"", </h6></i></p>",<h3>to make a wish</h3>,"<p><i><h6>""Chcę wiedzieć, jak <span style='color:rgb(0, 180, 250)'>złożyć</span> życzenia po polsku"", </h6></i></p>"
