,polish,check,english,sentence,polish_html,english_html,sentence_html
71,statyw,statyw,tripod,Po co znowu poprawiasz statyw,"<h4 style='color:rgb(0, 180, 250)'>statyw</h4>    <p><i><h6>Po co znowu poprawiasz <span style='color:rgb(0, 180, 250)'>statyw</span> </h6></i></p>",<h3>tripod</h3>,"<p><i><h6>Po co znowu poprawiasz <span style='color:rgb(0, 180, 250)'>statyw</span> </h6></i></p>"
72,szczegóły,detale,details,"Wszystkie szczegóły na temat tego,","<h4 style='color:rgb(0, 180, 250)'>szczegóły</h4>    <p><i><h6>Wszystkie <span style='color:rgb(0, 180, 250)'>szczegóły</span> na temat tego, </h6></i></p>",<h3>details</h3>,"<p><i><h6>Wszystkie <span style='color:rgb(0, 180, 250)'>szczegóły</span> na temat tego, </h6></i></p>"
73,szczerze,szczerze,honestly,Szczerze mówiąc jeszcze bym pospała,"<h4 style='color:rgb(0, 180, 250)'>szczerze</h4>    <p><i><h6><span style='color:rgb(0, 180, 250)'>Szczerze</span> mówiąc jeszcze bym pospała </h6></i></p>",<h3>honestly</h3>,"<p><i><h6><span style='color:rgb(0, 180, 250)'>Szczerze</span> mówiąc jeszcze bym pospała </h6></i></p>"
74,szyk,szyk,array,"A potem szyk wyrazów jest taki,","<h4 style='color:rgb(0, 180, 250)'>szyk</h4>    <p><i><h6>A potem <span style='color:rgb(0, 180, 250)'>szyk</span> wyrazów jest taki, </h6></i></p>",<h3>array</h3>,"<p><i><h6>A potem <span style='color:rgb(0, 180, 250)'>szyk</span> wyrazów jest taki, </h6></i></p>"
75,służbowy,biznes,business (adj),"albo nawet wydać polecenie służbowe,","<h4 style='color:rgb(0, 180, 250)'>służbowy</h4>    <p><i><h6>albo nawet wydać polecenie <span style='color:rgb(0, 180, 250)'>służbowe,</span> </h6></i></p>",<h3>business (adj)</h3>,"<p><i><h6>albo nawet wydać polecenie <span style='color:rgb(0, 180, 250)'>służbowe,</span> </h6></i></p>"
76,słówko,słowo,word,"Ewentualnie jeszcze słówka, które to orzeczenie opisują","<h4 style='color:rgb(0, 180, 250)'>słówko</h4>    <p><i><h6>Ewentualnie jeszcze <span style='color:rgb(0, 180, 250)'>słówka,</span> które to orzeczenie opisują </h6></i></p>",<h3>word</h3>,"<p><i><h6>Ewentualnie jeszcze <span style='color:rgb(0, 180, 250)'>słówka,</span> które to orzeczenie opisują </h6></i></p>"
77,trwać,trwać,to last,A jak długo on będzie trwał,"<h4 style='color:rgb(0, 180, 250)'>trwać</h4>    <p><i><h6>A jak długo on będzie <span style='color:rgb(0, 180, 250)'>trwał</span> </h6></i></p>",<h3>to last</h3>,"<p><i><h6>A jak długo on będzie <span style='color:rgb(0, 180, 250)'>trwał</span> </h6></i></p>"
78,tryb,tryb,mode,to możemy oczywiście użyć trybu rozkazującego…,"<h4 style='color:rgb(0, 180, 250)'>tryb</h4>    <p><i><h6>to możemy oczywiście użyć <span style='color:rgb(0, 180, 250)'>trybu</span> rozkazującego… </h6></i></p>",<h3>mode</h3>,"<p><i><h6>to możemy oczywiście użyć <span style='color:rgb(0, 180, 250)'>trybu</span> rozkazującego… </h6></i></p>"
79,unikać,unikać,to avoid, Przede wszystkim należy unikać,"<h4 style='color:rgb(0, 180, 250)'>unikać</h4>    <p><i><h6> Przede wszystkim należy <span style='color:rgb(0, 180, 250)'>unikać</span> </h6></i></p>",<h3>to avoid</h3>,"<p><i><h6> Przede wszystkim należy <span style='color:rgb(0, 180, 250)'>unikać</span> </h6></i></p>"
80,uniwersalny,uniwersalny,universal,ta zasada nie jest uniwersalna,"<h4 style='color:rgb(0, 180, 250)'>uniwersalny</h4>    <p><i><h6>ta zasada nie jest <span style='color:rgb(0, 180, 250)'>uniwersalna</span> </h6></i></p>",<h3>universal</h3>,"<p><i><h6>ta zasada nie jest <span style='color:rgb(0, 180, 250)'>uniwersalna</span> </h6></i></p>"
81,uprzejmość,życzliwość,kindness,w okazywaniu grzeczności i uprzejmości,"<h4 style='color:rgb(0, 180, 250)'>uprzejmość</h4>    <p><i><h6>w okazywaniu grzeczności i <span style='color:rgb(0, 180, 250)'>uprzejmości</span> </h6></i></p>",<h3>kindness</h3>,"<p><i><h6>w okazywaniu grzeczności i <span style='color:rgb(0, 180, 250)'>uprzejmości</span> </h6></i></p>"
82,uprzejmy,uprzejmy,kind,Czy byłabyś tak uprzejma i w łaskawości swojej,"<h4 style='color:rgb(0, 180, 250)'>uprzejmy</h4>    <p><i><h6>Czy byłabyś tak <span style='color:rgb(0, 180, 250)'>uprzejma</span> i w łaskawości swojej </h6></i></p>",<h3>kind</h3>,"<p><i><h6>Czy byłabyś tak <span style='color:rgb(0, 180, 250)'>uprzejma</span> i w łaskawości swojej </h6></i></p>"
83,ustawiony,ustawić,positioned/set,Dlaczego ostrość nie jest ustawiona na mnie,"<h4 style='color:rgb(0, 180, 250)'>ustawiony</h4>    <p><i><h6>Dlaczego ostrość nie jest <span style='color:rgb(0, 180, 250)'>ustawiona</span> na mnie </h6></i></p>",<h3>positioned/set</h3>,"<p><i><h6>Dlaczego ostrość nie jest <span style='color:rgb(0, 180, 250)'>ustawiona</span> na mnie </h6></i></p>"
84,utrwalić,naprawić,to consolidate,"żeby utrwalić sobie to wszystko,","<h4 style='color:rgb(0, 180, 250)'>utrwalić</h4>    <p><i><h6>żeby <span style='color:rgb(0, 180, 250)'>utrwalić</span> sobie to wszystko, </h6></i></p>",<h3>to consolidate</h3>,"<p><i><h6>żeby <span style='color:rgb(0, 180, 250)'>utrwalić</span> sobie to wszystko, </h6></i></p>"
85,uzupełnić,wkład,to refill,"które służą temu, żeby uzupełnić naszą wiedzę na jakiś temat","<h4 style='color:rgb(0, 180, 250)'>uzupełnić</h4>    <p><i><h6>które służą temu, żeby <span style='color:rgb(0, 180, 250)'>uzupełnić</span> naszą wiedzę na jakiś temat </h6></i></p>",<h3>to refill</h3>,"<p><i><h6>które służą temu, żeby <span style='color:rgb(0, 180, 250)'>uzupełnić</span> naszą wiedzę na jakiś temat </h6></i></p>"
86,wrażenie,wrażenie,impression,"sprawić wrażenie osób nie tylko miłych i empatycznych,","<h4 style='color:rgb(0, 180, 250)'>wrażenie</h4>    <p><i><h6>sprawić <span style='color:rgb(0, 180, 250)'>wrażenie</span> osób nie tylko miłych i empatycznych, </h6></i></p>",<h3>impression</h3>,"<p><i><h6>sprawić <span style='color:rgb(0, 180, 250)'>wrażenie</span> osób nie tylko miłych i empatycznych, </h6></i></p>"
87,wstawać,wstań,to stand up,"i ciepło, i w ogóle mi się nie chciało wstawać","<h4 style='color:rgb(0, 180, 250)'>wstawać</h4>    <p><i><h6>i ciepło, i w ogóle mi się nie chciało <span style='color:rgb(0, 180, 250)'>wstawać</span> </h6></i></p>",<h3>to stand up</h3>,"<p><i><h6>i ciepło, i w ogóle mi się nie chciało <span style='color:rgb(0, 180, 250)'>wstawać</span> </h6></i></p>"
88,wybrać,wybierać,to choose, Chciałabyś się wybrać,"<h4 style='color:rgb(0, 180, 250)'>wybrać</h4>    <p><i><h6> Chciałabyś się <span style='color:rgb(0, 180, 250)'>wybrać</span> </h6></i></p>",<h3>to choose</h3>,"<p><i><h6> Chciałabyś się <span style='color:rgb(0, 180, 250)'>wybrać</span> </h6></i></p>"
89,wydać,wydać,to spend (money),"albo nawet wydać polecenie służbowe,","<h4 style='color:rgb(0, 180, 250)'>wydać</h4>    <p><i><h6>albo nawet <span style='color:rgb(0, 180, 250)'>wydać</span> polecenie służbowe, </h6></i></p>",<h3>to spend (money)</h3>,"<p><i><h6>albo nawet <span style='color:rgb(0, 180, 250)'>wydać</span> polecenie służbowe, </h6></i></p>"
90,wykonawca,wykonawca,a contractor,"czyli o wykonawcę jakiejś czynności,","<h4 style='color:rgb(0, 180, 250)'>wykonawca</h4>    <p><i><h6>czyli o <span style='color:rgb(0, 180, 250)'>wykonawcę</span> jakiejś czynności, </h6></i></p>",<h3>a contractor</h3>,"<p><i><h6>czyli o <span style='color:rgb(0, 180, 250)'>wykonawcę</span> jakiejś czynności, </h6></i></p>"
91,wyraz,słowa,expression,"i ewentualnie wyrazy,","<h4 style='color:rgb(0, 180, 250)'>wyraz</h4>    <p><i><h6>i ewentualnie <span style='color:rgb(0, 180, 250)'>wyrazy,</span> </h6></i></p>",<h3>expression</h3>,"<p><i><h6>i ewentualnie <span style='color:rgb(0, 180, 250)'>wyrazy,</span> </h6></i></p>"
92,wznosząca,rosnący,rising,która jest taka lekko wznosząca,"<h4 style='color:rgb(0, 180, 250)'>wznosząca</h4>    <p><i><h6>która jest taka lekko <span style='color:rgb(0, 180, 250)'>wznosząca</span> </h6></i></p>",<h3>rising</h3>,"<p><i><h6>która jest taka lekko <span style='color:rgb(0, 180, 250)'>wznosząca</span> </h6></i></p>"
93,zadawanie,pytać,asking,jak tylko zadawanie pytań i odpowiadanie na nie,"<h4 style='color:rgb(0, 180, 250)'>zadawanie</h4>    <p><i><h6>jak tylko <span style='color:rgb(0, 180, 250)'>zadawanie</span> pytań i odpowiadanie na nie </h6></i></p>",<h3>asking</h3>,"<p><i><h6>jak tylko <span style='color:rgb(0, 180, 250)'>zadawanie</span> pytań i odpowiadanie na nie </h6></i></p>"
94,zadać/zadawać,popyt,to demand/ask,"W języku polskim, kiedy chcemy zadać pytanie","<h4 style='color:rgb(0, 180, 250)'>zadać</h4>    <p><i><h6>W języku polskim, kiedy chcemy <span style='color:rgb(0, 180, 250)'>zadać</span> pytanie </h6></i></p>",<h3>to demand/ask</h3>,"<p><i><h6>W języku polskim, kiedy chcemy <span style='color:rgb(0, 180, 250)'>zadać</span> pytanie </h6></i></p>"
95,zaimek,zaimek,pronoun,Zaczynamy od zaimka pytającego,"<h4 style='color:rgb(0, 180, 250)'>zaimek</h4>    <p><i><h6>Zaczynamy od <span style='color:rgb(0, 180, 250)'>zaimka</span> pytającego </h6></i></p>",<h3>pronoun</h3>,"<p><i><h6>Zaczynamy od <span style='color:rgb(0, 180, 250)'>zaimka</span> pytającego </h6></i></p>"
96,zająć,zając,to take care of/deal with,"A czy wiemy, ile zajmie nam nagrywanie","<h4 style='color:rgb(0, 180, 250)'>zająć</h4>    <p><i><h6>A czy wiemy, ile <span style='color:rgb(0, 180, 250)'>zajmie</span> nam nagrywanie </h6></i></p>",<h3>to take care of/deal with</h3>,"<p><i><h6>A czy wiemy, ile <span style='color:rgb(0, 180, 250)'>zajmie</span> nam nagrywanie </h6></i></p>"
97,zamiast,zamiast,instead,możemy zamiast trybu rozkazującego użyć pytania,"<h4 style='color:rgb(0, 180, 250)'>zamiast</h4>    <p><i><h6>możemy <span style='color:rgb(0, 180, 250)'>zamiast</span> trybu rozkazującego użyć pytania </h6></i></p>",<h3>instead</h3>,"<p><i><h6>możemy <span style='color:rgb(0, 180, 250)'>zamiast</span> trybu rozkazującego użyć pytania </h6></i></p>"
98,zapomniać,zapominać,to forget,O czym znowu zapomniałam,"<h4 style='color:rgb(0, 180, 250)'>zapomniać</h4>    <p><i><h6>O czym znowu <span style='color:rgb(0, 180, 250)'>zapomniałam</span> </h6></i></p>",<h3>to forget</h3>,"<p><i><h6>O czym znowu <span style='color:rgb(0, 180, 250)'>zapomniałam</span> </h6></i></p>"
99,zasada,zasada,principle,ta zasada nie jest uniwersalna,"<h4 style='color:rgb(0, 180, 250)'>zasada</h4>    <p><i><h6>ta <span style='color:rgb(0, 180, 250)'>zasada</span> nie jest uniwersalna </h6></i></p>",<h3>principle</h3>,"<p><i><h6>ta <span style='color:rgb(0, 180, 250)'>zasada</span> nie jest uniwersalna </h6></i></p>"
100,zdanie,opinia,opinion,"doklejamy takie zdanie,","<h4 style='color:rgb(0, 180, 250)'>zdanie</h4>    <p><i><h6>doklejamy takie <span style='color:rgb(0, 180, 250)'>zdanie,</span> </h6></i></p>",<h3>opinion</h3>,"<p><i><h6>doklejamy takie <span style='color:rgb(0, 180, 250)'>zdanie,</span> </h6></i></p>"
101,zdobyć,wygrać,to earn/obtain,jak je zdobyć,"<h4 style='color:rgb(0, 180, 250)'>zdobyć</h4>    <p><i><h6>jak je <span style='color:rgb(0, 180, 250)'>zdobyć</span> </h6></i></p>",<h3>to earn/obtain</h3>,"<p><i><h6>jak je <span style='color:rgb(0, 180, 250)'>zdobyć</span> </h6></i></p>"
102,zimowy,zima,winter (adj),"W styczniu, w ferie zimowe","<h4 style='color:rgb(0, 180, 250)'>zimowy</h4>    <p><i><h6>W styczniu, w ferie <span style='color:rgb(0, 180, 250)'>zimowe</span> </h6></i></p>",<h3>winter (adj)</h3>,"<p><i><h6>W styczniu, w ferie <span style='color:rgb(0, 180, 250)'>zimowe</span> </h6></i></p>"
103,zmienić,zmienić,to change,trochę zmienimy intonację,"<h4 style='color:rgb(0, 180, 250)'>zmienić</h4>    <p><i><h6>trochę <span style='color:rgb(0, 180, 250)'>zmienimy</span> intonację </h6></i></p>",<h3>to change</h3>,"<p><i><h6>trochę <span style='color:rgb(0, 180, 250)'>zmienimy</span> intonację </h6></i></p>"
104,łaskawość,życzliwość,kindness,Czy byłabyś tak uprzejma i w łaskawości swojej,"<h4 style='color:rgb(0, 180, 250)'>łaskawość</h4>    <p><i><h6>Czy byłabyś tak uprzejma i w <span style='color:rgb(0, 180, 250)'>łaskawości</span> swojej </h6></i></p>",<h3>kindness</h3>,"<p><i><h6>Czy byłabyś tak uprzejma i w <span style='color:rgb(0, 180, 250)'>łaskawości</span> swojej </h6></i></p>"
