,polish,check,english,sentence,polish_html,english_html,sentence_html
80,podawany,serwowane,served,"i przysłuchiwać się tym zapowiedziom podawanym przez megafon,","<h4 style='color:rgb(0, 180, 250)'>podawany</h4>    <p><i><h6>i przysłuchiwać się tym zapowiedziom podawanym przez megafon, </h6></i></p>",<h3>served</h3>,"<p><i><h6>i przysłuchiwać się tym zapowiedziom podawanym przez megafon, </h6></i></p>"
81,podchodzić,zbliżać się,to approach,do której kasy podchodzicie,"<h4 style='color:rgb(0, 180, 250)'>podchodzić</h4>    <p><i><h6>do której kasy podchodzicie </h6></i></p>",<h3>to approach</h3>,<p><i><h6>do której kasy podchodzicie </h6></i></p>
82,podróż,podróż,journey,"Zanim w ogóle wybierzecie się w podróż pociągiem,","<h4 style='color:rgb(0, 180, 250)'>podróż</h4>    <p><i><h6>Zanim w ogóle wybierzecie się w podróż pociągiem, </h6></i></p>",<h3>journey</h3>,"<p><i><h6>Zanim w ogóle wybierzecie się w podróż pociągiem, </h6></i></p>"
83,podróżowanie,podróżny,traveling,jak funkcjonuje podróżowanie właśnie pociągiem w Polsce,"<h4 style='color:rgb(0, 180, 250)'>podróżowanie</h4>    <p><i><h6>jak funkcjonuje podróżowanie właśnie pociągiem w Polsce </h6></i></p>",<h3>traveling</h3>,<p><i><h6>jak funkcjonuje podróżowanie właśnie pociągiem w Polsce </h6></i></p>
84,podróżować,podróżować,to travel,Czy polskimi pociągami można podróżować z pupilem,"<h4 style='color:rgb(0, 180, 250)'>podróżować</h4>    <p><i><h6>Czy polskimi pociągami można podróżować z pupilem </h6></i></p>",<h3>to travel</h3>,<p><i><h6>Czy polskimi pociągami można podróżować z pupilem </h6></i></p>
85,podstawowy,podstawowy,basic,ale swoje podstawowe potrzeby na pewno w niej załatwicie,"<h4 style='color:rgb(0, 180, 250)'>podstawowy</h4>    <p><i><h6>ale swoje podstawowe potrzeby na pewno w niej załatwicie </h6></i></p>",<h3>basic</h3>,<p><i><h6>ale swoje podstawowe potrzeby na pewno w niej załatwicie </h6></i></p>
86,pokazać,pokazać,to show,"żeby pokazać Wam trochę i opowiedzieć o tym,","<h4 style='color:rgb(0, 180, 250)'>pokazać</h4>    <p><i><h6>żeby pokazać Wam trochę i opowiedzieć o tym, </h6></i></p>",<h3>to show</h3>,"<p><i><h6>żeby pokazać Wam trochę i opowiedzieć o tym, </h6></i></p>"
87,pole,pole,field,"stronę tanich linii lotniczych i sprawia, że klikając niektóre pola","<h4 style='color:rgb(0, 180, 250)'>pole</h4>    <p><i><h6>stronę tanich linii lotniczych i sprawia, że klikając niektóre pola </h6></i></p>",<h3>field</h3>,"<p><i><h6>stronę tanich linii lotniczych i sprawia, że klikając niektóre pola </h6></i></p>"
88,polecać,polecić,to recommend,polecamy Wam szukać o tutaj,"<h4 style='color:rgb(0, 180, 250)'>polecać</h4>    <p><i><h6>polecamy Wam szukać o tutaj </h6></i></p>",<h3>to recommend</h3>,<p><i><h6>polecamy Wam szukać o tutaj </h6></i></p>
89,pomiędzy,pomiędzy,between,pomiędzy największymi polskimi miastami,"<h4 style='color:rgb(0, 180, 250)'>pomiędzy</h4>    <p><i><h6>pomiędzy największymi polskimi miastami </h6></i></p>",<h3>between</h3>,<p><i><h6>pomiędzy największymi polskimi miastami </h6></i></p>
90,porządnie,starannie,neatly/properly,"Warto je porządnie tam położyć,","<h4 style='color:rgb(0, 180, 250)'>porządnie</h4>    <p><i><h6>Warto je porządnie tam położyć, </h6></i></p>",<h3>neatly/properly</h3>,"<p><i><h6>Warto je porządnie tam położyć, </h6></i></p>"
91,poszukiwanie,szukaj,search,w poszukiwaniu swojego miejsca,"<h4 style='color:rgb(0, 180, 250)'>poszukiwanie</h4>    <p><i><h6>w poszukiwaniu swojego miejsca </h6></i></p>",<h3>search</h3>,<p><i><h6>w poszukiwaniu swojego miejsca </h6></i></p>
92,potrzebny,niezbędny,necessary,"to najlepiej taką, do której Internet niekoniecznie jest potrzebny","<h4 style='color:rgb(0, 180, 250)'>potrzebny</h4>    <p><i><h6>to najlepiej taką, do której Internet niekoniecznie jest potrzebny </h6></i></p>",<h3>necessary</h3>,"<p><i><h6>to najlepiej taką, do której Internet niekoniecznie jest potrzebny </h6></i></p>"
93,potrzeby,wymagania,needs,ale swoje podstawowe potrzeby na pewno w niej załatwicie,"<h4 style='color:rgb(0, 180, 250)'>potrzeby</h4>    <p><i><h6>ale swoje podstawowe potrzeby na pewno w niej załatwicie </h6></i></p>",<h3>needs</h3>,<p><i><h6>ale swoje podstawowe potrzeby na pewno w niej załatwicie </h6></i></p>
94,poza,oprócz,apart from,No i poza Internetem i kasami jest jeszcze trzecia opcja,"<h4 style='color:rgb(0, 180, 250)'>poza</h4>    <p><i><h6>No i poza Internetem i kasami jest jeszcze trzecia opcja </h6></i></p>",<h3>apart from</h3>,<p><i><h6>No i poza Internetem i kasami jest jeszcze trzecia opcja </h6></i></p>
95,położyć,umieścić,to put/place,"Warto je porządnie tam położyć,","<h4 style='color:rgb(0, 180, 250)'>położyć</h4>    <p><i><h6>Warto je porządnie tam położyć, </h6></i></p>",<h3>to put/place</h3>,"<p><i><h6>Warto je porządnie tam położyć, </h6></i></p>"
96,połączenie,połączenie,connection,to musicie znaleźć odpowiednie połączenie i kupić na nie bilet,"<h4 style='color:rgb(0, 180, 250)'>połączenie</h4>    <p><i><h6>to musicie znaleźć odpowiednie połączenie i kupić na nie bilet </h6></i></p>",<h3>connection</h3>,<p><i><h6>to musicie znaleźć odpowiednie połączenie i kupić na nie bilet </h6></i></p>
97,pożegnać się,pożegnać,to bid farewell,"Ale zanim się z Wami pożegnamy, to odpowiemy na jeszcze kilka pytań,","<h4 style='color:rgb(0, 180, 250)'>pożegnać się</h4>    <p><i><h6>Ale zanim się z Wami pożegnamy, to odpowiemy na jeszcze kilka pytań, </h6></i></p>",<h3>to bid farewell</h3>,"<p><i><h6>Ale zanim się z Wami pożegnamy, to odpowiemy na jeszcze kilka pytań, </h6></i></p>"
98,pracownik,pracownik,employee,"to może się zdarzyć tak, że jeden z pracowników pociągu","<h4 style='color:rgb(0, 180, 250)'>pracownik</h4>    <p><i><h6>to może się zdarzyć tak, że jeden z pracowników pociągu </h6></i></p>",<h3>employee</h3>,"<p><i><h6>to może się zdarzyć tak, że jeden z pracowników pociągu </h6></i></p>"
99,praktycznie,praktycznie,practically,"W praktycznie każdym polskim pociągu, czy to dalekobieżnym,","<h4 style='color:rgb(0, 180, 250)'>praktycznie</h4>    <p><i><h6>W praktycznie każdym polskim pociągu, czy to dalekobieżnym, </h6></i></p>",<h3>practically</h3>,"<p><i><h6>W praktycznie każdym polskim pociągu, czy to dalekobieżnym, </h6></i></p>"
100,preferencja,pierwszeństwo,preference,to dostaniemy miejsce według naszych preferencji,"<h4 style='color:rgb(0, 180, 250)'>preferencja</h4>    <p><i><h6>to dostaniemy miejsce według naszych preferencji </h6></i></p>",<h3>preference</h3>,<p><i><h6>to dostaniemy miejsce według naszych preferencji </h6></i></p>
101,promocja,oferta specjalna,special offer,"różnymi promocjami, które tym bardziej nakłaniają do tego,","<h4 style='color:rgb(0, 180, 250)'>promocja</h4>    <p><i><h6>różnymi promocjami, które tym bardziej nakłaniają do tego, </h6></i></p>",<h3>special offer</h3>,"<p><i><h6>różnymi promocjami, które tym bardziej nakłaniają do tego, </h6></i></p>"
102,przedziałowy,przedział,compartmental,"Są też wagony przedziałowe, czyli takie,","<h4 style='color:rgb(0, 180, 250)'>przedziałowy</h4>    <p><i><h6>Są też wagony przedziałowe, czyli takie, </h6></i></p>",<h3>compartmental</h3>,"<p><i><h6>Są też wagony przedziałowe, czyli takie, </h6></i></p>"
103,przejmować się,przejąć,to take over," Nie przejmujcie się tym,","<h4 style='color:rgb(0, 180, 250)'>przejmować się</h4>    <p><i><h6> Nie przejmujcie się tym, </h6></i></p>",<h3>to take over</h3>,"<p><i><h6> Nie przejmujcie się tym, </h6></i></p>"
104,przekąska,przekąska,snack,Na dworcu zawsze da się też kupić jakąś przekąskę na drogę,"<h4 style='color:rgb(0, 180, 250)'>przekąska</h4>    <p><i><h6>Na dworcu zawsze da się też kupić jakąś przekąskę na drogę </h6></i></p>",<h3>snack</h3>,<p><i><h6>Na dworcu zawsze da się też kupić jakąś przekąskę na drogę </h6></i></p>
105,przemieszczać się,przesunąć,to move/travel,"Jeżeli przemieszczacie się po pociągu,","<h4 style='color:rgb(0, 180, 250)'>przemieszczać się</h4>    <p><i><h6>Jeżeli przemieszczacie się po pociągu, </h6></i></p>",<h3>to move/travel</h3>,"<p><i><h6>Jeżeli przemieszczacie się po pociągu, </h6></i></p>"
106,przesiadać się na,przenosić,to transfer/change to,"Teraz to już naprawdę koniec, bo ja i Aga przesiadamy się na autobus,","<h4 style='color:rgb(0, 180, 250)'>przesiadać się na</h4>    <p><i><h6>Teraz to już naprawdę koniec, bo ja i Aga przesiadamy się na autobus, </h6></i></p>",<h3>to transfer/change to</h3>,"<p><i><h6>Teraz to już naprawdę koniec, bo ja i Aga przesiadamy się na autobus, </h6></i></p>"
107,przewozić,transportować,to transport,Czy w pociągu można przewozić rower,"<h4 style='color:rgb(0, 180, 250)'>przewozić</h4>    <p><i><h6>Czy w pociągu można przewozić rower </h6></i></p>",<h3>to transport</h3>,<p><i><h6>Czy w pociągu można przewozić rower </h6></i></p>
108,przewoźnik,nośnik,rail operator,"obsługują lokalni przewoźnicy, ale tych jest bardzo dużo,","<h4 style='color:rgb(0, 180, 250)'>przewoźnik</h4>    <p><i><h6>obsługują lokalni przewoźnicy, ale tych jest bardzo dużo, </h6></i></p>",<h3>rail operator</h3>,"<p><i><h6>obsługują lokalni przewoźnicy, ale tych jest bardzo dużo, </h6></i></p>"
109,przewożenie,przewóz,transporting,będzie takie specjalne miejsce do przewożenia rowerów,"<h4 style='color:rgb(0, 180, 250)'>przewożenie</h4>    <p><i><h6>będzie takie specjalne miejsce do przewożenia rowerów </h6></i></p>",<h3>transporting</h3>,<p><i><h6>będzie takie specjalne miejsce do przewożenia rowerów </h6></i></p>
110,przewóz,przewóz,carriage/freight,No i koniecznie poczytajcie o zasadach przewozu,"<h4 style='color:rgb(0, 180, 250)'>przewóz</h4>    <p><i><h6>No i koniecznie poczytajcie o zasadach przewozu </h6></i></p>",<h3>carriage/freight</h3>,<p><i><h6>No i koniecznie poczytajcie o zasadach przewozu </h6></i></p>
111,przydzielony,przydzielony,assigned,ale w polskich pociągach te miejsca są automatycznie przydzielane,"<h4 style='color:rgb(0, 180, 250)'>przydzielony</h4>    <p><i><h6>ale w polskich pociągach te miejsca są automatycznie przydzielane </h6></i></p>",<h3>assigned</h3>,<p><i><h6>ale w polskich pociągach te miejsca są automatycznie przydzielane </h6></i></p>
112,przyglądać się,zegarek,to watch,to najlepiej przyglądajcie się tym tablicom informacyjnym,"<h4 style='color:rgb(0, 180, 250)'>przyglądać się</h4>    <p><i><h6>to najlepiej przyglądajcie się tym tablicom informacyjnym </h6></i></p>",<h3>to watch</h3>,<p><i><h6>to najlepiej przyglądajcie się tym tablicom informacyjnym </h6></i></p>
113,przygotowany,przygotowany,prepared,"A tych nie warto płacić, więc bądźcie przygotowani","<h4 style='color:rgb(0, 180, 250)'>przygotowany</h4>    <p><i><h6>A tych nie warto płacić, więc bądźcie przygotowani </h6></i></p>",<h3>prepared</h3>,"<p><i><h6>A tych nie warto płacić, więc bądźcie przygotowani </h6></i></p>"
114,przygotować,przygotować,to prepare,Ja na przykład przygotowałam nowy zestaw ćwiczeń,"<h4 style='color:rgb(0, 180, 250)'>przygotować</h4>    <p><i><h6>Ja na przykład przygotowałam nowy zestaw ćwiczeń </h6></i></p>",<h3>to prepare</h3>,<p><i><h6>Ja na przykład przygotowałam nowy zestaw ćwiczeń </h6></i></p>
115,przyjazd,przyjazd,arrival,koniecznie rozglądajcie się za tablicą przyjazdów i odjazdów,"<h4 style='color:rgb(0, 180, 250)'>przyjazd</h4>    <p><i><h6>koniecznie rozglądajcie się za tablicą przyjazdów i odjazdów </h6></i></p>",<h3>arrival</h3>,<p><i><h6>koniecznie rozglądajcie się za tablicą przyjazdów i odjazdów </h6></i></p>
116,przyjechać,chodź,to come/arrive (by vehicle),"Jeżeli zastanawiacie się, po co w ogóle do tej Warszawy przyjechałyśmy,","<h4 style='color:rgb(0, 180, 250)'>przyjechać</h4>    <p><i><h6>Jeżeli zastanawiacie się, po co w ogóle do tej Warszawy przyjechałyśmy, </h6></i></p>",<h3>to come/arrive (by vehicle)</h3>,"<p><i><h6>Jeżeli zastanawiacie się, po co w ogóle do tej Warszawy przyjechałyśmy, </h6></i></p>"
117,przyjść,chodź,come/bring,"które mogą Wam przyjść do głowy,","<h4 style='color:rgb(0, 180, 250)'>przyjść</h4>    <p><i><h6>które mogą Wam przyjść do głowy, </h6></i></p>",<h3>come/bring</h3>,"<p><i><h6>które mogą Wam przyjść do głowy, </h6></i></p>"
118,przynajmniej,co najmniej,at least,"to może dla Was braknąć miejsca, a przynajmniej tego siedzącego,","<h4 style='color:rgb(0, 180, 250)'>przynajmniej</h4>    <p><i><h6>to może dla Was braknąć miejsca, a przynajmniej tego siedzącego, </h6></i></p>",<h3>at least</h3>,"<p><i><h6>to może dla Was braknąć miejsca, a przynajmniej tego siedzącego, </h6></i></p>"
119,przypięty,przypięty,pinned,Tam zostawimy Wam przypiętą relację z tego dnia,"<h4 style='color:rgb(0, 180, 250)'>przypięty</h4>    <p><i><h6>Tam zostawimy Wam przypiętą relację z tego dnia </h6></i></p>",<h3>pinned</h3>,<p><i><h6>Tam zostawimy Wam przypiętą relację z tego dnia </h6></i></p>
120,przypominać,przypominać,to remind,Strona PKP ostatnio coraz bardziej przypomina,"<h4 style='color:rgb(0, 180, 250)'>przypominać</h4>    <p><i><h6>Strona PKP ostatnio coraz bardziej przypomina </h6></i></p>",<h3>to remind</h3>,<p><i><h6>Strona PKP ostatnio coraz bardziej przypomina </h6></i></p>
121,przysłuchiwać się,słuchać,to listen,"i przysłuchiwać się tym zapowiedziom podawanym przez megafon,","<h4 style='color:rgb(0, 180, 250)'>przysłuchiwać się</h4>    <p><i><h6>i przysłuchiwać się tym zapowiedziom podawanym przez megafon, </h6></i></p>",<h3>to listen</h3>,"<p><i><h6>i przysłuchiwać się tym zapowiedziom podawanym przez megafon, </h6></i></p>"
122,przysługiwać,być uprawnionym,to be entitled,"albo osobą z niepełnosprawnościami, przysługują Wam zniżki","<h4 style='color:rgb(0, 180, 250)'>przysługiwać</h4>    <p><i><h6>albo osobą z niepełnosprawnościami, przysługują Wam zniżki </h6></i></p>",<h3>to be entitled</h3>,"<p><i><h6>albo osobą z niepełnosprawnościami, przysługują Wam zniżki </h6></i></p>"
123,punktualność,punktualność,punctuality,"Punktualność nie jest mocną stroną Polskich Kolei Państwowych,","<h4 style='color:rgb(0, 180, 250)'>punktualność</h4>    <p><i><h6>Punktualność nie jest mocną stroną Polskich Kolei Państwowych, </h6></i></p>",<h3>punctuality</h3>,"<p><i><h6>Punktualność nie jest mocną stroną Polskich Kolei Państwowych, </h6></i></p>"
124,rama,ramka,frame,A takie krótsze lokalne trasy w ramach jednego województwa,"<h4 style='color:rgb(0, 180, 250)'>rama</h4>    <p><i><h6>A takie krótsze lokalne trasy w ramach jednego województwa </h6></i></p>",<h3>frame</h3>,<p><i><h6>A takie krótsze lokalne trasy w ramach jednego województwa </h6></i></p>
125,regionalny,regionalny,regional,"na takie połączenia regionalne,  będą oznaczone jako","<h4 style='color:rgb(0, 180, 250)'>regionalny</h4>    <p><i><h6>na takie połączenia regionalne,  będą oznaczone jako </h6></i></p>",<h3>regional</h3>,"<p><i><h6>na takie połączenia regionalne,  będą oznaczone jako </h6></i></p>"
126,relacja,relacja,relation,Tam zostawimy Wam przypiętą relację z tego dnia,"<h4 style='color:rgb(0, 180, 250)'>relacja</h4>    <p><i><h6>Tam zostawimy Wam przypiętą relację z tego dnia </h6></i></p>",<h3>relation</h3>,<p><i><h6>Tam zostawimy Wam przypiętą relację z tego dnia </h6></i></p>
127,restauracja,restauracja,restaurant,"małych restauracji albo po prostu takiej poczekalni,","<h4 style='color:rgb(0, 180, 250)'>restauracja</h4>    <p><i><h6>małych restauracji albo po prostu takiej poczekalni, </h6></i></p>",<h3>restaurant</h3>,"<p><i><h6>małych restauracji albo po prostu takiej poczekalni, </h6></i></p>"
128,restauracyjny,restauracja,restaurant (adj),No i są jeszcze wagony restauracyjne,"<h4 style='color:rgb(0, 180, 250)'>restauracyjny</h4>    <p><i><h6>No i są jeszcze wagony restauracyjne </h6></i></p>",<h3>restaurant (adj)</h3>,<p><i><h6>No i są jeszcze wagony restauracyjne </h6></i></p>
129,rozglądać się,rozejrzeć się,to look around,koniecznie rozglądajcie się za tablicą przyjazdów i odjazdów,"<h4 style='color:rgb(0, 180, 250)'>rozglądać się</h4>    <p><i><h6>koniecznie rozglądajcie się za tablicą przyjazdów i odjazdów </h6></i></p>",<h3>to look around</h3>,<p><i><h6>koniecznie rozglądajcie się za tablicą przyjazdów i odjazdów </h6></i></p>
130,rozwiązanie,rozwiązanie,solution,"Jeżeli jesteście fanami bardziej tradycyjnych rozwiązań,","<h4 style='color:rgb(0, 180, 250)'>rozwiązanie</h4>    <p><i><h6>Jeżeli jesteście fanami bardziej tradycyjnych rozwiązań, </h6></i></p>",<h3>solution</h3>,"<p><i><h6>Jeżeli jesteście fanami bardziej tradycyjnych rozwiązań, </h6></i></p>"
131,ruszać,przesunąć,to move,"My, zaopatrzone w drożdżówki, ruszamy na peron","<h4 style='color:rgb(0, 180, 250)'>ruszać</h4>    <p><i><h6>My, zaopatrzone w drożdżówki, ruszamy na peron </h6></i></p>",<h3>to move</h3>,"<p><i><h6>My, zaopatrzone w drożdżówki, ruszamy na peron </h6></i></p>"
132,rządek,wiersz,row,siedzą w parach i w rządkach,"<h4 style='color:rgb(0, 180, 250)'>rządek</h4>    <p><i><h6>siedzą w parach i w rządkach </h6></i></p>",<h3>row</h3>,<p><i><h6>siedzą w parach i w rządkach </h6></i></p>
133,siedzenie,siedziba,seat,"to wtedy patrzcie na te numerki, które napisane są nad siedzeniami,","<h4 style='color:rgb(0, 180, 250)'>siedzenie</h4>    <p><i><h6>to wtedy patrzcie na te numerki, które napisane są nad siedzeniami, </h6></i></p>",<h3>seat</h3>,"<p><i><h6>to wtedy patrzcie na te numerki, które napisane są nad siedzeniami, </h6></i></p>"
134,siedzieć,siedzieć,to sit,"albo bardzo Wam zależy na tym, żeby siedzieć przy oknie","<h4 style='color:rgb(0, 180, 250)'>siedzieć</h4>    <p><i><h6>albo bardzo Wam zależy na tym, żeby siedzieć przy oknie </h6></i></p>",<h3>to sit</h3>,"<p><i><h6>albo bardzo Wam zależy na tym, żeby siedzieć przy oknie </h6></i></p>"
135,siedzący,posiedzenie,sitting,"to może dla Was braknąć miejsca, a przynajmniej tego siedzącego,","<h4 style='color:rgb(0, 180, 250)'>siedzący</h4>    <p><i><h6>to może dla Was braknąć miejsca, a przynajmniej tego siedzącego, </h6></i></p>",<h3>sitting</h3>,"<p><i><h6>to może dla Was braknąć miejsca, a przynajmniej tego siedzącego, </h6></i></p>"
136,skorzystać,zdobyć przewagę,to take advantage,"Jeżeli tak jak Aga i ja skorzystacie z tej opcji,","<h4 style='color:rgb(0, 180, 250)'>skorzystać</h4>    <p><i><h6>Jeżeli tak jak Aga i ja skorzystacie z tej opcji, </h6></i></p>",<h3>to take advantage</h3>,"<p><i><h6>Jeżeli tak jak Aga i ja skorzystacie z tej opcji, </h6></i></p>"
137,spaść,spadek,to fall,żeby przypadkiem na nikogo nie spadły,"<h4 style='color:rgb(0, 180, 250)'>spaść</h4>    <p><i><h6>żeby przypadkiem na nikogo nie spadły </h6></i></p>",<h3>to fall</h3>,<p><i><h6>żeby przypadkiem na nikogo nie spadły </h6></i></p>
138,społeczność,społeczność,community,"jak dołączyć do naszej super społeczności,","<h4 style='color:rgb(0, 180, 250)'>społeczność</h4>    <p><i><h6>jak dołączyć do naszej super społeczności, </h6></i></p>",<h3>community</h3>,"<p><i><h6>jak dołączyć do naszej super społeczności, </h6></i></p>"
139,sprawdzić,sprawdzić,to check,"Często tak, ale to zależy od pociągu i trzeba sprawdzić,","<h4 style='color:rgb(0, 180, 250)'>sprawdzić</h4>    <p><i><h6>Często tak, ale to zależy od pociągu i trzeba sprawdzić, </h6></i></p>",<h3>to check</h3>,"<p><i><h6>Często tak, ale to zależy od pociągu i trzeba sprawdzić, </h6></i></p>"
140,sprawiać,przyczyna,to cause,"stronę tanich linii lotniczych i sprawia, że klikając niektóre pola","<h4 style='color:rgb(0, 180, 250)'>sprawiać</h4>    <p><i><h6>stronę tanich linii lotniczych i sprawia, że klikając niektóre pola </h6></i></p>",<h3>to cause</h3>,"<p><i><h6>stronę tanich linii lotniczych i sprawia, że klikając niektóre pola </h6></i></p>"
141,sprytny,sprytny,clever/nifty,i czasami dzięki tym sprytnym urządzeniom,"<h4 style='color:rgb(0, 180, 250)'>sprytny</h4>    <p><i><h6>i czasami dzięki tym sprytnym urządzeniom </h6></i></p>",<h3>clever/nifty</h3>,<p><i><h6>i czasami dzięki tym sprytnym urządzeniom </h6></i></p>
142,spóźnić,spóźnić się,to be late,"A poza tym, jeżeli za bardzo się spóźnicie,","<h4 style='color:rgb(0, 180, 250)'>spóźnić</h4>    <p><i><h6>A poza tym, jeżeli za bardzo się spóźnicie, </h6></i></p>",<h3>to be late</h3>,"<p><i><h6>A poza tym, jeżeli za bardzo się spóźnicie, </h6></i></p>"
143,stacjonarnie,stacjonarny,stationary,"To jest właśnie to miejsce, w którym można kupić bilet stacjonarnie","<h4 style='color:rgb(0, 180, 250)'>stacjonarnie</h4>    <p><i><h6>To jest właśnie to miejsce, w którym można kupić bilet stacjonarnie </h6></i></p>",<h3>stationary</h3>,"<p><i><h6>To jest właśnie to miejsce, w którym można kupić bilet stacjonarnie </h6></i></p>"
144,stać,być,to become/stand,Jeżeli kiedyś będziecie stać na wąskim peronie,"<h4 style='color:rgb(0, 180, 250)'>stać</h4>    <p><i><h6>Jeżeli kiedyś będziecie stać na wąskim peronie </h6></i></p>",<h3>to become/stand</h3>,<p><i><h6>Jeżeli kiedyś będziecie stać na wąskim peronie </h6></i></p>
145,stwierdzić,powiedzieć,to tell/determine,"Stwierdziłyśmy więc, że to świetna okazja do tego,","<h4 style='color:rgb(0, 180, 250)'>stwierdzić</h4>    <p><i><h6>Stwierdziłyśmy więc, że to świetna okazja do tego, </h6></i></p>",<h3>to tell/determine</h3>,"<p><i><h6>Stwierdziłyśmy więc, że to świetna okazja do tego, </h6></i></p>"
146,superzaproszenie,superzaproszenie,superinvitation,Aga i ja dostałyśmy niedawno superzaproszenie,"<h4 style='color:rgb(0, 180, 250)'>superzaproszenie</h4>    <p><i><h6>Aga i ja dostałyśmy niedawno superzaproszenie </h6></i></p>",<h3>superinvitation</h3>,<p><i><h6>Aga i ja dostałyśmy niedawno superzaproszenie </h6></i></p>
147,szczegółowy,szczegółowy,detailed,więc szczegółowe linki postaramy się Wam zostawić,"<h4 style='color:rgb(0, 180, 250)'>szczegółowy</h4>    <p><i><h6>więc szczegółowe linki postaramy się Wam zostawić </h6></i></p>",<h3>detailed</h3>,<p><i><h6>więc szczegółowe linki postaramy się Wam zostawić </h6></i></p>
148,tablica,deska,board/tablet,i właśnie na tych tablicach znajdziecie o nich informacje,"<h4 style='color:rgb(0, 180, 250)'>tablica</h4>    <p><i><h6>i właśnie na tych tablicach znajdziecie o nich informacje </h6></i></p>",<h3>board/tablet</h3>,<p><i><h6>i właśnie na tych tablicach znajdziecie o nich informacje </h6></i></p>
149,tak samo,to samo,just as/equally, On jest tak samo ważny,"<h4 style='color:rgb(0, 180, 250)'>tak samo</h4>    <p><i><h6> On jest tak samo ważny </h6></i></p>",<h3>just as/equally</h3>,<p><i><h6> On jest tak samo ważny </h6></i></p>
150,tor,ścieżka,track,"Dlatego jeżeli zastanawiacie się, z którego toru odjedzie wasz pociąg,","<h4 style='color:rgb(0, 180, 250)'>tor</h4>    <p><i><h6>Dlatego jeżeli zastanawiacie się, z którego toru odjedzie wasz pociąg, </h6></i></p>",<h3>track</h3>,"<p><i><h6>Dlatego jeżeli zastanawiacie się, z którego toru odjedzie wasz pociąg, </h6></i></p>"
151,tożsamość,tożsamość,identity,"i dokument tożsamości, jeżeli kupiliście bilet przez Internet,","<h4 style='color:rgb(0, 180, 250)'>tożsamość</h4>    <p><i><h6>i dokument tożsamości, jeżeli kupiliście bilet przez Internet, </h6></i></p>",<h3>identity</h3>,"<p><i><h6>i dokument tożsamości, jeżeli kupiliście bilet przez Internet, </h6></i></p>"
152,tradycyjny,tradycyjny,traditional,"Jeżeli jesteście fanami bardziej tradycyjnych rozwiązań,","<h4 style='color:rgb(0, 180, 250)'>tradycyjny</h4>    <p><i><h6>Jeżeli jesteście fanami bardziej tradycyjnych rozwiązań, </h6></i></p>",<h3>traditional</h3>,"<p><i><h6>Jeżeli jesteście fanami bardziej tradycyjnych rozwiązań, </h6></i></p>"
153,trasa,trasa,route,Połączeń na takie długie trasy,"<h4 style='color:rgb(0, 180, 250)'>trasa</h4>    <p><i><h6>Połączeń na takie długie trasy </h6></i></p>",<h3>route</h3>,<p><i><h6>Połączeń na takie długie trasy </h6></i></p>
154,uczeń,student,student/learner,"czy dalekobieżnym, to jeżeli jesteście uczniem, studentem","<h4 style='color:rgb(0, 180, 250)'>uczeń</h4>    <p><i><h6>czy dalekobieżnym, to jeżeli jesteście uczniem, studentem </h6></i></p>",<h3>student/learner</h3>,"<p><i><h6>czy dalekobieżnym, to jeżeli jesteście uczniem, studentem </h6></i></p>"
155,uniemożliwiać,zapobiec,to prevent/disallow,ale uniemożliwiają ich zwrot albo wymianę,"<h4 style='color:rgb(0, 180, 250)'>uniemożliwiać</h4>    <p><i><h6>ale uniemożliwiają ich zwrot albo wymianę </h6></i></p>",<h3>to prevent/disallow</h3>,<p><i><h6>ale uniemożliwiają ich zwrot albo wymianę </h6></i></p>
156,uniknąć,unikać,to avoid,można uniknąć długich kolejek do kasy,"<h4 style='color:rgb(0, 180, 250)'>uniknąć</h4>    <p><i><h6>można uniknąć długich kolejek do kasy </h6></i></p>",<h3>to avoid</h3>,<p><i><h6>można uniknąć długich kolejek do kasy </h6></i></p>
157,uprawniający,kwalifikacyjny,qualifying,"dokument uprawniający Was do zniżek, jeżeli z nich skorzystaliście,","<h4 style='color:rgb(0, 180, 250)'>uprawniający</h4>    <p><i><h6>dokument uprawniający Was do zniżek, jeżeli z nich skorzystaliście, </h6></i></p>",<h3>qualifying</h3>,"<p><i><h6>dokument uprawniający Was do zniżek, jeżeli z nich skorzystaliście, </h6></i></p>"
158,uprawniać do,upoważniać,to entitle to,"będziecie musieli pokazać dokument, który uprawnia Was do tej zniżki","<h4 style='color:rgb(0, 180, 250)'>uprawniać do</h4>    <p><i><h6>będziecie musieli pokazać dokument, który uprawnia Was do tej zniżki </h6></i></p>",<h3>to entitle to</h3>,"<p><i><h6>będziecie musieli pokazać dokument, który uprawnia Was do tej zniżki </h6></i></p>"
159,urządzenie,urządzenie,device,i czasami dzięki tym sprytnym urządzeniom,"<h4 style='color:rgb(0, 180, 250)'>urządzenie</h4>    <p><i><h6>i czasami dzięki tym sprytnym urządzeniom </h6></i></p>",<h3>device</h3>,<p><i><h6>i czasami dzięki tym sprytnym urządzeniom </h6></i></p>
160,usiąść,usiądź,to sit down,"i jeżeli tam usiądziemy przez przypadek, to możemy dostać za to karę","<h4 style='color:rgb(0, 180, 250)'>usiąść</h4>    <p><i><h6>i jeżeli tam usiądziemy przez przypadek, to możemy dostać za to karę </h6></i></p>",<h3>to sit down</h3>,"<p><i><h6>i jeżeli tam usiądziemy przez przypadek, to możemy dostać za to karę </h6></i></p>"
